scenario,model,accuracy,sensitivity,specificity,balanced_accuracy,best_mtry,n_trees,best_learning_rate,best_max_depth,best_min_samples_leaf,best_n_estimators
No Duration,Random Forest,0.716524854455889,0.7829787234042553,0.6427221172022685,0.712850420303262,6.0,1000.0,,,,
No Duration,GBM,0.7227944469323779,0.7957446808510639,0.6417769376181475,0.7187608092346056,,,0.05,7.0,5.0,500.0
No Duration,Logistic Regression,0.6963725929243171,0.7651063829787234,0.6200378071833649,0.6925720950810441,,,,,,
No Duration,LDA,0.696820420958352,0.8161702127659575,0.5642722117202268,0.6902212122430922,,,,,,
With Duration,Random Forest,0.8441558441558441,0.8093617021276596,0.8827977315689981,0.8460797168483288,6.0,1000.0,,,,
With Duration,GBM,0.8522167487684729,0.8272340425531914,0.8799621928166351,0.8535981176849132,,,0.05,7.0,5.0,500.0
With Duration,Logistic Regression,0.819525302283923,0.8417021276595744,0.7948960302457467,0.8182990789526605,,,,,,
With Duration,LDA,0.8069861173309449,0.8561702127659574,0.7523629489603024,0.80426658086313,,,,,,
